NED_id,class,ra,dec,zdist,D,F1400,F843,Fsyn,Lsyn,Pcav,L151,Ljet,Lcr,Fcr,Rmax
PKS 0000-550,j,0.79429,-54.74892,0.0328430830031,140.191967835,0.0,1549.0,1320.42078322,40.53346293555949,44.13685204845458,40.18849664041347,43.05914575223342,42.515077707883144,1.392260460941306e-12,18.583994835051595
ESO 349- G 022,j,0.80408,-35.93708,0.0511181149184,221.125045884,613.6,1123.4,957.624730707,40.789775545699975,44.31627087555292,40.44480925055395,43.28726397525845,42.74319593090817,9.462569981024468e-13,18.698053946564112
MCG +09-01-002,u,0.90966,51.77794,0.0452011578753,194.69588327,494.8,0.0,571.835220946,40.455288759113515,44.082130124942395,40.11032246396749,42.9895707351965,42.445502690846226,6.150043660657858e-13,18.549207326533136
IC 1531,j,2.39809,-32.27686,0.025886336757,109.92774068,432.9,558.8,500.298033847,39.900747720742686,43.69395139808282,39.55578142559666,42.49602921104646,41.95196116669619,6.192066445725608e-13,18.302436564458116
NGC 0025,j,2.49699,-57.02082,0.0317599466136,135.460078856,0.0,618.6,527.315878953,40.1049978179329,43.83692646611597,39.760031522786875,42.67781179754575,42.133743753195475,6.197408886597178e-13,18.39332785770776
2MASX J00112171+5231437,j,2.84041,52.52882,0.111467542775,502.65234255,434.0,0.0,501.569292422,41.2221706819796,44.618947470948655,40.877204386833576,43.67209564654731,43.12802760219704,4.442027327208558e-13,18.890469782208545
NGC 0055,g,3.72334,-39.19663,0.000796081556473,1.97669607378,224.8,0.0,259.799025199,36.12582163691826,41.05150313940572,35.78085534177224,39.13634499644272,38.59227695209245,8.365390105217535e-13,16.622594457156247
ESO 350- G 015,j,6.38107,-33.04613,0.0510876857906,220.988580599,1494.4,2310.0,1969.12331132,41.10231689890231,44.535049822794555,40.75735060375629,43.565425779608525,43.02135773525825,1.7976581824259366e-12,18.83713484873915
PKS 0026-014,p,7.25406,-1.22829,0.0871738045269,386.743407108,284.8,0.0,329.140402032,40.81153135354875,44.33149994104706,40.46656505840273,43.30662664424386,42.76255859989359,3.234460170561968e-13,18.707735281056816
4C +10.01,j,8.73405,10.46487,0.0593684055783,258.333007989,850.4,0.0,982.79844764,40.93612858391242,44.41871800230163,40.5911622887664,43.417518179267525,42.87345013491725,9.357921091346987e-13,18.76318104856865
2MASX J00375761-2504254,j,9.49014,-25.07375,0.0659458515371,288.291837264,216.8,0.0,250.553508288,40.43786950036334,44.06993664381728,40.09290320521732,42.974067594908846,42.42999955055857,2.7065989208207236e-13,18.541455756389308
NGC 0193,j,9.82741,3.3313,0.0142472563311,59.9742219106,1277.3,0.0,1476.1623438,39.84436768741312,43.65448537475212,39.499401392267096,42.445850981383145,41.90178293703287,1.853287250443523e-12,18.27734744962646
NGC 0215,j,10.20364,-56.21407,0.0272440243161,115.810358987,0.0,310.4,264.595617244,39.669381782342576,43.53199524120274,39.32441548719655,42.29011352587037,41.74604548152009,3.472479666731064e-13,18.19947872187007
NGC 0253,g,11.88806,-25.2888,0.00110007578041,3.50981349139,5572.3,0.0,6439.8492354,38.01874809858906,42.37655166257528,37.673781803443035,40.821049547329736,40.27698150297946,1.2838150733629383e-11,17.464946732599753
NGC 0262,p,12.19641,31.95696,0.0147926127538,62.2956805823,292.2,0.0,337.692505175,39.23674161206661,43.229147122009564,38.89177531692059,41.90506377432475,41.360995729974476,4.94502971635051e-13,18.006953846097264
2MASX J00545264-0437033,j,13.71931,-4.61759,0.0720244803011,316.209734817,222.6,0.0,257.256508049,40.529621162663354,44.13416280742729,40.18465486751733,43.05572657435586,42.51165853000558,2.715170482225581e-13,18.582285246112814
CGCG 384-032,j,14.01125,-1.3344,0.0442005197854,190.247584744,1198.4,0.0,1384.97843327,40.819385635011955,44.336997938071306,40.47441933986593,43.31361695474611,42.769548910395834,1.3583123581664566e-12,18.711230436307943
UGC 00583,j,14.10664,-1.26248,0.0395459986468,169.637174439,1370.2,0.0,1583.52590893,40.77797155395213,44.308008081329426,40.433005258806105,43.27675842260287,42.73269037825259,1.569413426552342e-12,18.69280117023632
UGC 00595,j,14.39547,-1.39104,0.0466507058775,201.150706269,5365.4,0.0,6200.73705429,41.5187907592119,44.82658152501127,41.17382446406588,43.936087515284065,43.39201947093379,5.0940756817245995e-12,19.022465716576917
NGC 0315,j,14.45378,30.35236,0.0166192147881,69.6720300541,6630.0,0.0,1920.40943138,40.68977598889417,44.246271185788856,40.34480969374815,43.198264369701285,42.65419632535101,7.765482424720835e-12,18.653554143785527
NGC 0326 NED01,j,14.59431,26.86626,0.0508667955827,219.99812542,1802.9,0.0,2083.59280486,41.12295512997709,44.5494965845469,40.77798883483107,43.58379380526509,43.03972576091481,1.8922427324917913e-12,18.84631886156743
ABELL S0112:[GMT93] C,p,14.59607,-66.81281,0.0768191326039,338.386161514,0.0,404.6,344.894931497,40.71581632056786,44.26449941796044,40.37085002542184,43.221440264890866,42.67737222054059,3.4724506157209777e-13,18.66514209138032
2MASX J01014997-0252314,j,15.4582,-2.87542,0.0738314725807,324.551448768,254.0,0.0,293.545161924,40.6095463515885,44.19011043967489,40.264580056442476,43.126859992499234,42.58279194814896,3.036084743321177e-13,18.617851955184506
NGC 0349,j,15.46144,-6.79981,0.0204764474183,86.6027323219,295.9,0.0,341.968556746,39.52835368438934,43.43327557263547,39.183387389243315,42.16459851869198,41.620530474341706,4.65110700726711e-13,18.136721218280876
NGC 0383,j,16.85396,32.41256,0.0172515492886,72.4564506272,4835.8,0.0,5588.68383478,40.586767973131494,44.17416557475498,40.24180167798547,43.1065872356725,42.562519191322224,5.81372018597853e-12,18.607715576771138
IC 1623B,p,16.94818,-17.50697,0.020652839914,87.3603488358,248.5,0.0,287.188869048,39.460100642856084,43.3854984435622,39.11513434771006,42.103853311727384,41.55978526737711,3.9741622510291177e-13,18.10634861479858
2MASX J01100320+1358417,p,17.51331,13.97823,0.0608311151444,264.972765562,237.7,0.0,274.707421218,40.404577189579385,44.046632026268504,40.05961089443336,42.94443743831113,42.40036939396085,2.992650239028486e-13,18.52664067809045
2MASX J01103850+1649348,j,17.66041,16.8263,0.0683014429596,299.084332784,301.2,0.0,348.093711699,40.61258782539235,44.19223947133759,40.26762153024633,43.129566904184664,42.58549885983439,3.5974981413206016e-13,18.61920541102722
MCG -02-04-010,j,17.78788,-13.96103,0.0533932563207,231.344357012,1306.6,0.0,1510.02404949,41.02680600574957,44.482192197587636,40.68183971060355,43.49822108470259,42.95415304035232,1.4051551023229197e-12,18.80353250128618
VV 382 NED01,j,18.24813,15.49125,0.0456021824131,196.480350314,1042.8,0.0,1205.15312935,40.78698480079238,44.314317354117605,40.44201850564636,43.28478021229069,42.740712167940416,1.1916890969613983e-12,18.69681206508023
